"trait"	"comp"	"Estimate"	"Std..Error"	"t.value"	"Pr...t.."	"mean_abu1"	"mean_abu2"	"log_fold_diff"	"q"	"status"
"ko:K19548"	"hdi_diff"	1.16660421983496	0.342969456754243	3.40148137643317	0.000837606273098063	15876.653643214	33814.8568469313	0.756017140524604	1	"other"
"ko:K19551"	"human"	-0.461327857976752	0.429498642869615	-1.07410783627738	0.284314654779415	89390.023310129	59282.238464036	-0.410693657280973	1	"other"
"ko:K19551"	"hdi_diff"	0.772221182880194	0.470996625761539	1.63954716582441	0.102970558295243	45246.5898813063	66007.6534099274	0.377636439267713	1	"other"
"ko:K19560"	"human"	-0.357800894565459	0.249975340432542	-1.43134476363285	0.154189063821776	110481.90185769	170851.966285026	0.435942565670737	1	"other"
"ko:K19560"	"hdi_diff"	0.862204747583685	0.274127855400608	3.14526499440805	0.00196285806237158	121326.23584216	194583.045455567	0.472372856379403	1	"other"
"ko:K19561"	"human"	-1.57820798163126	0.253921511543972	-6.21533785001104	3.90795537165404e-09	46703.5024960841	40778.1793192008	-0.135668932866437	4.95528741125733e-05	"NHA"
"ko:K19561"	"hdi_diff"	1.70566130330575	0.278455303947926	6.12544016624199	6.21168550207184e-09	10851.7522144083	55117.9256402472	1.62507442709394	7.87641721662709e-05	"NHA"
"ko:K19563"	"human"	-0.181248833189131	0.23639406360571	-0.766723285790467	0.444322130590068	23709.5826092238	48611.3387856107	0.717955911085791	1	"Human_EUR"
"ko:K19563"	"hdi_diff"	1.27700739745438	0.25923436117154	4.92607303940453	1.99543351108263e-06	25817.7064831245	59533.2875972187	0.835453122028624	0.0253020969205278	"Human_EUR"
"ko:K19572"	"human"	-1.34783881057338	0.707721966250442	-1.90447502670337	0.0585572846002058	3756.03712316423	31625.3900717833	2.13036125331188	1	"Human_EUR"
"ko:K19572"	"hdi_diff"	4.61124818899524	0.776101772648609	5.9415509041532	1.58296907291279e-08	19423.418476804	37472.1681277109	0.657094201316293	0.000200720478445341	"Human_EUR"
"ko:K19576"	"human"	-0.911496014157153	0.186851830288269	-4.87817546529209	2.46983063429308e-06	29184.8668956098	31009.9523936844	0.0606558634313496	0.0313174524428363	"NHA"
"ko:K19576"	"hdi_diff"	1.32939215764152	0.204905377570329	6.48783440144336	9.36831501870263e-10	13322.1188191268	39485.37264816	1.08645483284853	1.18790234437149e-05	"NHA"
"ko:K19577"	"human"	0.0657656057283676	0.117450380609301	0.559943742942282	0.576263655384592	249822.942092404	264076.649856179	0.0554867499979004	1	"other"
"ko:K19577"	"hdi_diff"	-0.209081956856124	0.128798388259827	-1.6233274319733	0.106394340579664	303429.987592003	245219.842191097	-0.212994994919597	1	"other"
"ko:K19578"	"human"	-2.00760048240447	0.240870780637514	-8.33476138986615	2.65881089954351e-14	22572.222061999	14891.3299934701	-0.415918024382769	3.37137222062117e-10	"NHA"
"ko:K19578"	"hdi_diff"	2.11115534217394	0.264143616768673	7.99245262104067	2.02340960577506e-13	3336.97820457768	20427.7902256476	1.81157989576072	2.56568338012277e-09	"NHA"
"ko:K19587"	"human"	0.430104343162166	0.19040564788929	2.25888437622526	0.0251765166933396	36997.299354326	78175.7143349586	0.748099884364796	1	"other"
"ko:K19587"	"hdi_diff"	0.808958666463023	0.208802563571825	3.87427554827291	0.000153034772776988	45815.1406551263	93681.8225565448	0.715278403515292	1	"other"
"ko:K19591"	"human"	0.537086650065943	0.162415082885286	3.30687667995274	0.00115377586291515	372854.802262179	367751.527741548	-0.0137815227991968	1	"other"
"ko:K19591"	"hdi_diff"	-0.771802253484089	0.178107561645947	-4.33334916469367	2.52152126455472e-05	539169.562580069	285613.719381423	-0.635388195898494	0.319728896345539	"other"
"ko:K19609"	"human"	5.46914337726567	0.700479551898085	7.80771310518054	5.96111320417351e-13	1150.21985494607	16317.5311898164	2.65147922124593	7.55869154289202e-09	"Human"
"ko:K19609"	"hdi_diff"	-0.610435539547369	0.768159599189023	-0.794672800016859	0.427925038772262	11158.8910819797	18789.3795748215	0.521018816890275	1	"Human"
"ko:K19610"	"human"	6.44568436550937	0.76280517929856	8.4499745681283	1.33280129386921e-14	1000.19989958076	14360.8555925719	2.66337659453379	1.68999204062616e-10	"Human"
"ko:K19610"	"hdi_diff"	-2.93339615778899	0.836507103171721	-3.50671996288693	0.000581966441375921	10484.9781933204	16218.0468463799	0.436147328316887	1	"Human"
